mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC int8,clean,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC float32,30 dB,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC int8,30 dB,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC float32,20 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,20 dB,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC float32,10 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,10 dB,0.9940476190476191,0.9090909090909091,1.0,0.9523809523809523,0.9504405132147693,168
PC float32,5 dB,1.0,1.0,1.0,1.0,1.0,168
PC int8,5 dB,1.0,1.0,1.0,1.0,1.0,168
