mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC int8,clean,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,30 dB,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC int8,30 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC float32,20 dB,0.9642857142857143,0.625,1.0,0.7692307692307693,0.7754133238375583,168
PC int8,20 dB,0.9226190476190477,0.43478260869565216,1.0,0.6060606060606061,0.6316718737457391,168
PC float32,10 dB,0.9226190476190477,0.43478260869565216,1.0,0.6060606060606061,0.6316718737457391,168
PC int8,10 dB,0.8333333333333334,0.2631578947368421,1.0,0.4166666666666667,0.4653195874389598,168
PC float32,5 dB,0.9285714285714286,0.45,0.9,0.6,0.606679661856935,168
PC int8,5 dB,0.8511904761904762,0.2727272727272727,0.9,0.4186046511627907,0.445517819052978,168
