mode,snr_db,accuracy,precision,recall,f1,mcc,samples
PC float32,clean,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC int8,clean,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC float32,30 dB,0.9821428571428571,0.7692307692307693,1.0,0.8695652173913043,0.8686916148517432,168
PC int8,30 dB,0.9761904761904762,0.7142857142857143,1.0,0.8333333333333334,0.8343875188697213,168
PC float32,20 dB,0.9880952380952381,0.8333333333333334,1.0,0.9090909090909091,0.9070748646757787,168
PC int8,20 dB,0.9345238095238095,0.47619047619047616,1.0,0.6451612903225806,0.6656109784878435,168
PC float32,10 dB,0.9345238095238095,0.47619047619047616,1.0,0.6451612903225806,0.6656109784878435,168
PC int8,10 dB,0.8273809523809523,0.2564102564102564,1.0,0.40816326530612246,0.4575452047731519,168
PC float32,5 dB,0.9285714285714286,0.45,0.9,0.6,0.606679661856935,168
PC int8,5 dB,0.8630952380952381,0.2903225806451613,0.9,0.43902439024390244,0.4640179634970406,168
